source_id,source_type,target_id,target_type,weight,nt,spatial_x,spatial_y
200241,Tm_STMD_flank,999010,LC10,5,GABA,17,7
200269,Tm_STMD_flank,999010,LC10,6,GABA,13,8
200270,Tm_STMD_flank,999010,LC10,5,GABA,14,8
200271,Tm_STMD_flank,999010,LC10,7,GABA,15,8
200272,Tm_STMD_flank,999010,LC10,6,GABA,16,8
200273,Tm_STMD_flank,999010,LC10,6,GABA,17,8
200274,Tm_STMD_flank,999010,LC10,6,GABA,18,8
200275,Tm_STMD_flank,999010,LC10,5,GABA,19,8
200276,Tm_STMD_flank,999010,LC10,5,GABA,20,8
200298,Tm_STMD_flank,999010,LC10,5,GABA,10,9
200299,Tm_STMD_flank,999010,LC10,6,GABA,11,9
200300,Tm_STMD_flank,999010,LC10,6,GABA,12,9
200301,Tm_STMD_flank,999010,LC10,7,GABA,13,9
200302,Tm_STMD_flank,999010,LC10,7,GABA,14,9
200303,Tm_STMD_flank,999010,LC10,6,GABA,15,9
200304,Tm_STMD_flank,999010,LC10,7,GABA,16,9
200305,Tm_STMD_flank,999010,LC10,7,GABA,17,9
200306,Tm_STMD_flank,999010,LC10,6,GABA,18,9
200307,Tm_STMD_flank,999010,LC10,7,GABA,19,9
200308,Tm_STMD_flank,999010,LC10,7,GABA,20,9
200309,Tm_STMD_flank,999010,LC10,6,GABA,21,9
200329,Tm_STMD_flank,999010,LC10,5,GABA,9,10
200330,Tm_STMD_flank,999010,LC10,5,GABA,10,10
200331,Tm_STMD_flank,999010,LC10,6,GABA,11,10
200332,Tm_STMD_flank,999010,LC10,7,GABA,12,10
200333,Tm_STMD_flank,999010,LC10,6,GABA,13,10
200334,Tm_STMD_flank,999010,LC10,6,GABA,14,10
200335,Tm_STMD_flank,999010,LC10,7,GABA,15,10
200336,Tm_STMD_flank,999010,LC10,6,GABA,16,10
200337,Tm_STMD_flank,999010,LC10,7,GABA,17,10
200338,Tm_STMD_flank,999010,LC10,6,GABA,18,10
200339,Tm_STMD_flank,999010,LC10,7,GABA,19,10
200340,Tm_STMD_flank,999010,LC10,7,GABA,20,10
200341,Tm_STMD_flank,999010,LC10,6,GABA,21,10
200342,Tm_STMD_flank,999010,LC10,5,GABA,22,10
200361,Tm_STMD_flank,999010,LC10,5,GABA,9,11
200362,Tm_STMD_flank,999010,LC10,7,GABA,10,11
200363,Tm_STMD_flank,999010,LC10,6,GABA,11,11
200364,Tm_STMD_flank,999010,LC10,7,GABA,12,11
200365,Tm_STMD_flank,999010,LC10,6,GABA,13,11
200366,Tm_STMD_flank,999010,LC10,6,GABA,14,11
200367,Tm_STMD_flank,999010,LC10,5,GABA,15,11
200369,Tm_STMD_flank,999010,LC10,5,GABA,17,11
200370,Tm_STMD_flank,999010,LC10,5,GABA,18,11
200371,Tm_STMD_flank,999010,LC10,6,GABA,19,11
200372,Tm_STMD_flank,999010,LC10,6,GABA,20,11
200373,Tm_STMD_flank,999010,LC10,6,GABA,21,11
200374,Tm_STMD_flank,999010,LC10,7,GABA,22,11
200375,Tm_STMD_flank,999010,LC10,5,GABA,23,11
