source_id,source_type,target_id,target_type,weight,nt,spatial_x,spatial_y,pathway
100000,T4_T5_horizontal,999020,HSN,20,ACh,0,0,HS
100000,T4_T5_vertical,999030,VS1,17,ACh,0,0,VS
100001,T4_T5_horizontal,999020,HSN,16,ACh,1,0,HS
100001,T4_T5_vertical,999030,VS1,17,ACh,1,0,VS
100002,T4_T5_horizontal,999020,HSN,16,ACh,2,0,HS
100002,T4_T5_vertical,999030,VS1,17,ACh,2,0,VS
100003,T4_T5_horizontal,999020,HSN,15,ACh,3,0,HS
100003,T4_T5_vertical,999030,VS1,20,ACh,3,0,VS
100004,T4_T5_horizontal,999020,HSN,14,ACh,4,0,HS
100004,T4_T5_vertical,999030,VS1,17,ACh,4,0,VS
100005,T4_T5_horizontal,999020,HSN,12,ACh,5,0,HS
100005,T4_T5_vertical,999030,VS1,19,ACh,5,0,VS
100006,T4_T5_horizontal,999020,HSN,11,ACh,6,0,HS
100006,T4_T5_vertical,999030,VS1,18,ACh,6,0,VS
100007,T4_T5_horizontal,999020,HSN,13,ACh,7,0,HS
100007,T4_T5_vertical,999030,VS1,20,ACh,7,0,VS
100008,T4_T5_horizontal,999020,HSN,12,ACh,8,0,HS
100008,T4_T5_vertical,999030,VS1,19,ACh,8,0,VS
100009,T4_T5_horizontal,999020,HSN,10,ACh,9,0,HS
100009,T4_T5_vertical,999030,VS1,20,ACh,9,0,VS
100010,T4_T5_horizontal,999020,HSN,8,ACh,10,0,HS
100010,T4_T5_vertical,999030,VS1,17,ACh,10,0,VS
100011,T4_T5_horizontal,999020,HSN,9,ACh,11,0,HS
100011,T4_T5_vertical,999030,VS1,19,ACh,11,0,VS
100012,T4_T5_horizontal,999020,HSN,5,ACh,12,0,HS
100012,T4_T5_vertical,999030,VS1,18,ACh,12,0,VS
100013,T4_T5_horizontal,999020,HSN,5,ACh,13,0,HS
100013,T4_T5_vertical,999030,VS1,19,ACh,13,0,VS
100014,T4_T5_horizontal,999020,HSN,3,ACh,14,0,HS
100014,T4_T5_vertical,999030,VS1,17,ACh,14,0,VS
100015,T4_T5_horizontal,999020,HSN,3,ACh,15,0,HS
100015,T4_T5_vertical,999030,VS1,17,ACh,15,0,VS
100016,T4_T5_horizontal,999020,HSN,4,GABA,16,0,HS
100016,T4_T5_vertical,999030,VS1,19,ACh,16,0,VS
100017,T4_T5_vertical,999030,VS1,17,ACh,17,0,VS
100018,T4_T5_horizontal,999020,HSN,5,GABA,18,0,HS
100018,T4_T5_vertical,999030,VS1,17,ACh,18,0,VS
100019,T4_T5_horizontal,999020,HSN,7,GABA,19,0,HS
100019,T4_T5_vertical,999030,VS1,18,ACh,19,0,VS
100020,T4_T5_horizontal,999020,HSN,5,GABA,20,0,HS
100020,T4_T5_vertical,999030,VS1,19,ACh,20,0,VS
100021,T4_T5_horizontal,999020,HSN,7,GABA,21,0,HS
100021,T4_T5_vertical,999030,VS1,18,ACh,21,0,VS
100022,T4_T5_horizontal,999020,HSN,8,GABA,22,0,HS
100022,T4_T5_vertical,999030,VS1,17,ACh,22,0,VS
100023,T4_T5_horizontal,999020,HSN,10,GABA,23,0,HS
100023,T4_T5_vertical,999030,VS1,19,ACh,23,0,VS
100024,T4_T5_horizontal,999020,HSN,11,GABA,24,0,HS
100024,T4_T5_vertical,999030,VS1,18,ACh,24,0,VS
100025,T4_T5_horizontal,999020,HSN,11,GABA,25,0,HS
100025,T4_T5_vertical,999030,VS1,17,ACh,25,0,VS
100026,T4_T5_horizontal,999020,HSN,11,GABA,26,0,HS
100026,T4_T5_vertical,999030,VS1,19,ACh,26,0,VS
100027,T4_T5_horizontal,999020,HSN,12,GABA,27,0,HS
100027,T4_T5_vertical,999030,VS1,18,ACh,27,0,VS
100028,T4_T5_horizontal,999020,HSN,16,GABA,28,0,HS
100028,T4_T5_vertical,999030,VS1,20,ACh,28,0,VS
100029,T4_T5_horizontal,999020,HSN,14,GABA,29,0,HS
100029,T4_T5_vertical,999030,VS1,19,ACh,29,0,VS
100030,T4_T5_horizontal,999020,HSN,17,GABA,30,0,HS
100030,T4_T5_vertical,999030,VS1,19,ACh,30,0,VS
100031,T4_T5_horizontal,999020,HSN,18,GABA,31,0,HS
100031,T4_T5_vertical,999030,VS1,18,ACh,31,0,VS
100032,T4_T5_horizontal,999020,HSN,20,ACh,0,1,HS
100032,T4_T5_vertical,999030,VS1,18,ACh,0,1,VS
100033,T4_T5_horizontal,999020,HSN,19,ACh,1,1,HS
100033,T4_T5_vertical,999030,VS1,17,ACh,1,1,VS
100034,T4_T5_horizontal,999020,HSN,15,ACh,2,1,HS
100034,T4_T5_vertical,999030,VS1,16,ACh,2,1,VS
100035,T4_T5_horizontal,999020,HSN,15,ACh,3,1,HS
100035,T4_T5_vertical,999030,VS1,19,ACh,3,1,VS
100036,T4_T5_horizontal,999020,HSN,15,ACh,4,1,HS
