source_id,source_type,target_id,target_type,weight,nt,spatial_x,spatial_y
300000,ORN_DM1_L_0,999050,LHON_food_attract_L,30,ACh,0,0
300000,LN_GABA_L_0,999051,LHON_food_attract_R,10,GABA,0,1
300001,ORN_DM1_L_1,999050,LHON_food_attract_L,22,ACh,1,0
300001,LN_GABA_L_1,999051,LHON_food_attract_R,7,GABA,1,1
300002,ORN_DM1_L_2,999050,LHON_food_attract_L,29,ACh,2,0
300002,LN_GABA_L_2,999051,LHON_food_attract_R,7,GABA,2,1
300003,ORN_DM1_L_3,999050,LHON_food_attract_L,30,ACh,3,0
300003,LN_GABA_L_3,999051,LHON_food_attract_R,12,GABA,3,1
300004,ORN_DM1_L_4,999050,LHON_food_attract_L,29,ACh,4,0
300004,LN_GABA_L_4,999051,LHON_food_attract_R,9,GABA,4,1
300005,ORN_DM1_L_5,999050,LHON_food_attract_L,23,ACh,5,0
300005,LN_GABA_L_5,999051,LHON_food_attract_R,5,GABA,5,1
300006,ORN_DM1_L_6,999050,LHON_food_attract_L,23,ACh,6,0
300006,LN_GABA_L_6,999051,LHON_food_attract_R,7,GABA,6,1
300007,ORN_DM1_L_7,999050,LHON_food_attract_L,23,ACh,7,0
300007,LN_GABA_L_7,999051,LHON_food_attract_R,9,GABA,7,1
300008,ORN_DM1_L_8,999050,LHON_food_attract_L,26,ACh,8,0
300008,LN_GABA_L_8,999051,LHON_food_attract_R,5,GABA,8,1
300009,ORN_DM1_L_9,999050,LHON_food_attract_L,27,ACh,9,0
300009,LN_GABA_L_9,999051,LHON_food_attract_R,10,GABA,9,1
300010,ORN_DM1_L_10,999050,LHON_food_attract_L,27,ACh,10,0
300010,LN_GABA_L_10,999051,LHON_food_attract_R,10,GABA,10,1
300011,ORN_DM1_L_11,999050,LHON_food_attract_L,19,ACh,11,0
300011,LN_GABA_L_11,999051,LHON_food_attract_R,12,GABA,11,1
300012,ORN_DM1_L_12,999050,LHON_food_attract_L,26,ACh,12,0
300012,LN_GABA_L_12,999051,LHON_food_attract_R,11,GABA,12,1
300013,ORN_DM1_L_13,999050,LHON_food_attract_L,26,ACh,13,0
300013,LN_GABA_L_13,999051,LHON_food_attract_R,9,GABA,13,1
300014,ORN_DM1_L_14,999050,LHON_food_attract_L,21,ACh,14,0
300014,LN_GABA_L_14,999051,LHON_food_attract_R,10,GABA,14,1
300015,ORN_DM1_L_15,999050,LHON_food_attract_L,19,ACh,15,0
300015,LN_GABA_L_15,999051,LHON_food_attract_R,6,GABA,15,1
300016,ORN_DM1_R_0,999051,LHON_food_attract_R,23,ACh,16,0
300016,LN_GABA_R_0,999050,LHON_food_attract_L,8,GABA,16,1
300017,ORN_DM1_R_1,999051,LHON_food_attract_R,29,ACh,17,0
300017,LN_GABA_R_1,999050,LHON_food_attract_L,12,GABA,17,1
300018,ORN_DM1_R_2,999051,LHON_food_attract_R,20,ACh,18,0
300018,LN_GABA_R_2,999050,LHON_food_attract_L,5,GABA,18,1
300019,ORN_DM1_R_3,999051,LHON_food_attract_R,30,ACh,19,0
300019,LN_GABA_R_3,999050,LHON_food_attract_L,7,GABA,19,1
300020,ORN_DM1_R_4,999051,LHON_food_attract_R,30,ACh,20,0
300020,LN_GABA_R_4,999050,LHON_food_attract_L,11,GABA,20,1
300021,ORN_DM1_R_5,999051,LHON_food_attract_R,25,ACh,21,0
300021,LN_GABA_R_5,999050,LHON_food_attract_L,10,GABA,21,1
300022,ORN_DM1_R_6,999051,LHON_food_attract_R,21,ACh,22,0
300022,LN_GABA_R_6,999050,LHON_food_attract_L,12,GABA,22,1
300023,ORN_DM1_R_7,999051,LHON_food_attract_R,30,ACh,23,0
300023,LN_GABA_R_7,999050,LHON_food_attract_L,10,GABA,23,1
300024,ORN_DM1_R_8,999051,LHON_food_attract_R,25,ACh,24,0
300024,LN_GABA_R_8,999050,LHON_food_attract_L,10,GABA,24,1
300025,ORN_DM1_R_9,999051,LHON_food_attract_R,19,ACh,25,0
300025,LN_GABA_R_9,999050,LHON_food_attract_L,9,GABA,25,1
300026,ORN_DM1_R_10,999051,LHON_food_attract_R,24,ACh,26,0
300026,LN_GABA_R_10,999050,LHON_food_attract_L,7,GABA,26,1
300027,ORN_DM1_R_11,999051,LHON_food_attract_R,25,ACh,27,0
300027,LN_GABA_R_11,999050,LHON_food_attract_L,6,GABA,27,1
300028,ORN_DM1_R_12,999051,LHON_food_attract_R,25,ACh,28,0
300028,LN_GABA_R_12,999050,LHON_food_attract_L,11,GABA,28,1
300029,ORN_DM1_R_13,999051,LHON_food_attract_R,24,ACh,29,0
300029,LN_GABA_R_13,999050,LHON_food_attract_L,5,GABA,29,1
300030,ORN_DM1_R_14,999051,LHON_food_attract_R,21,ACh,30,0
300030,LN_GABA_R_14,999050,LHON_food_attract_L,7,GABA,30,1
300031,ORN_DM1_R_15,999051,LHON_food_attract_R,25,ACh,31,0
300031,LN_GABA_R_15,999050,LHON_food_attract_L,6,GABA,31,1
